Pq,Pr,Ps,Pt,E(QS) - desc,E(QS),E(QT) - desc,E(QT),E(RS) - desc,E(RS),E(RT) - desc,E(RT),E(QS) + E(RS) + E(RT) - E(QT)
3,6,4,2,'-11.0/31,-0.3548387096774194,'-14.0/20,-0.7,'8.0/26,0.3076923076923077,'9.0/23,0.391304347826087,1.0441579458409753
3,6,4,3,'-12.0/24,-0.5,'-17.0/17,-1.0,'11.0/31,0.3548387096774194,'28.0/28,1.0,1.8548387096774195
3,6,4,4,'-15.0/23,-0.6521739130434783,'-9.0/29,-0.3103448275862069,'13.0/25,0.52,'5.0/23,0.21739130434782608,0.39556221889055476
3,6,4,5,'-17.0/27,-0.6296296296296297,'9.0/21,0.42857142857142855,'5.0/29,0.1724137931034483,'-1.0/23,-0.043478260869565216,-0.9292655259671752
3,6,4,6,'-6.0/22,-0.2727272727272727,'23.0/23,1.0,'6.0/30,0.2,'-25.0/25,-1.0,-2.0727272727272728
3,6,5,1,'9.0/25,0.36,'2.0/28,0.07142857142857142,'-10.0/22,-0.45454545454545453,'-7.0/25,-0.28,-0.445974025974026
3,6,5,2,'2.0/24,0.08333333333333333,'-9.0/23,-0.391304347826087,'-8.0/30,-0.26666666666666666,'5.0/23,0.21739130434782608,0.42536231884057973
3,6,5,3,'6.0/22,0.2727272727272727,'-27.0/27,-1.0,'-4.0/24,-0.16666666666666666,'27.0/27,1.0,2.106060606060606
3,6,5,4,'4.0/24,0.16666666666666666,'-6.0/22,-0.2727272727272727,'-11.0/27,-0.4074074074074074,'11.0/27,0.4074074074074074,0.43939393939393934
3,6,5,5,'6.0/20,0.3,'8.0/22,0.36363636363636365,'-3.0/27,-0.1111111111111111,'-9.0/31,-0.2903225806451613,-0.4650700553926361
3,6,5,6,'11.0/23,0.4782608695652174,'28.0/28,1.0,'-8.0/28,-0.2857142857142857,'-21.0/21,-1.0,-1.8074534161490683
3,6,6,1,'19.0/19,1.0,'10.0/26,0.38461538461538464,'-21.0/21,-1.0,'-16.0/34,-0.47058823529411764,-0.8552036199095023
3,6,6,2,'24.0/24,1.0,'-7.0/27,-0.25925925925925924,'-25.0/25,-1.0,'0.0/24,0.0,0.25925925925925924
3,6,6,3,'29.0/29,1.0,'-23.0/23,-1.0,'-22.0/22,-1.0,'26.0/26,1.0,2.0
3,6,6,4,'30.0/30,1.0,'-9.0/21,-0.42857142857142855,'-24.0/24,-1.0,'9.0/25,0.36,0.7885714285714285
3,6,6,5,'33.0/33,1.0,'5.0/21,0.23809523809523808,'-31.0/31,-1.0,'-9.0/15,-0.6,-0.838095238095238
